"
Teknik Direktörler","
Dönemi"
Ali Sami Yen (V. 29.10.1951),26.10.1923
Billy Hunter (V.),25.05.1924 - 12.09.1926 
Bela Toth (V.),14.10.1927 - 28.05.1928
Fred Pagnam (V. 07.03.1962),27.09.1931 - 22.04.1932
James Elliot Donnelly (V.),12.07.1936 - 01.08.1937 
Ignace Molnar (V. 09.03.1986),23.04.1948 - 30.05.1948 
Peter Molloy (V. 16.02.1993),28.11.1948 - 20.05.1949
Cihat Arman (V. 14.05.1994),20.11.1949 
James McCormick (V. 03.01.1968),03.12.1950
Rebii Erkal (V. 24.11.1985),10.06.1951 - 21.11.1951
Sandro Puppo (V. 16.10.1989),01.06.1952 - 23.06.1954 
Gündüz Kılıç (V. 17.05.1980),17.10.1954 
Zarko Mihajloviç (V. 16.09.1986),03.04.1955 - 26.06.1955
Giovanni Varglien (V. 16.10.1990),18.12.1955 - 25.12.1955
Eşfak Aykaç (V. 21.11.2003),19.021956 - 08.12.1957
Leandro Remondini (V. 09.01.1979),04.05.1958 - 10.05.1959
Ignace Molnar (V. 09.03.1986),08.06.1960 
Sandro Puppo (V. 16.10.1989),27.11.1960 - 16.05.1962 
Şeref Görkey (V. 10.11.2004),10.10.1962 
Ljubisa Spajiç (V. 28.03.2004),25.11.1962 - 16.12.1962
Bülent Eken (V. 25.07.2016),27.03.1963- 09.10.1963
Cihat Arman (V. 14.05.1994),27.09.1964 - 01.11.1964
Sandro Puppo (V. 16.10.1989),20.12.1964 - 09.05.1965
Doğan Andaç (V. 06.02.2013),21.07.1965 - 25.07.1965 
Sandro Puppo (V. 16.10.1989),09.10.1965 - 30.05.1966
Adnan Süvari (V. 06.06.1991),12.10.1966 - 11.12.1968
Şükrü Mustafa Gülesin (V. 10.07.1977),17.01.1969
Abdullah Gegic (V. 21.06.2008),30.04.1969 - 16.11.1969
Sabri Kiraz (V. 12.01.1985),17.10.1970
Doğan Andaç (V. 06.02.2013),13.12.1970
Cihat Arman (V. 14.05.1994),25.04.1971 - 14.11.1971
Nicolae Petrescu ,05.12.1971 
Coşkun Özarı (V. 22.06.2011),12.04.1972 - 31.10.1976 
Doğan Andaç (V. 06.02.2013),17.11.1976 
Metin Türel (V. 17.11.2018),16.02.1977 - 05.10.1978
Sabri Kiraz (V. 12.01.1985),29.11.1978 - 15.10.1980
Özkan Sümer (V. 22.12.2020),03.12.1980 - 25.03.1981
Fethi Demircan ,15.04.1981 - 07.10.1981
Coşkun Özarı (V. 22.06.2011),22.09.1982 - 04.04.1984
Candan Tarhan (V. 18.04.1989),06.09.1984 - 14.11.1984
Yılmaz Gökdel (V. 04.11.2019) ,22.12.1984 - 03.04.1985
Kalman Meszöly ,01.05.1985 - 28.08.1985
Coşkun Özarı (V. 22.06.2011),11.09.1985 - 12.11.1986
Mustafa Denizli ,04.03.1987 - 16.12.1987
Tınaz Tırpan ,16.03.1988 - 15.11.1989
Fatih Terim (Antrenör),11.04.1990  
Sepp Piontek,27.05.1990 - 28.04.1993
Fatih Terim ,27.10.1993 - 19.06.1996
Mustafa Denizli ,14.08.1996 - 24.06.2000
Şenol Güneş ,16.08.2000 - 18.02.2004
Ünal Karaman (Antrenör),31.03.2004 
Ersun Yanal ,28.04.2004 - 08.06.2005
Fatih Terim ,17.08.2005 - 14.10.2009
Oğuz Çetin,01.02.2010 -31.07.2010
Guus Hiddink,01.08.2010 - 16.11.2011
Abdullah Avcı,17.11.2011 - 20.08.2013
Fatih Terim ,22.08.2013 - 26.07.2017
Mircea Lucescu ,04.08.2017 - 11.02.2019
Şenol Güneş ,18.03.2019 - 10.09.2021
Stefan Kuntz,20.09.2021 - 
